Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,male,receptive to guidance,0.0021071115013169,0.0031488486709826,NO
education,male,seeks hidden truths,0.0019315188762071,0.021004619625683,NO
education,male,waddles,0.0014047410008779,0.0130983421877358,NO
education,male,clumsy,0.0014047410008779,0.0130983421877358,NO
education,male,instructor,0.0012291483757682,0.044893726908212,NO
education,male,business-minded,0.0010535557506584,0.0408470132779697,NO
education,male,undergoes physical training,0.0010535557506584,0.0408470132779697,NO
education,female,determined,0.0110313430222377,4.406590917067408e-05,NO
education,female,researcher,0.0061285239012432,0.0198234736763507,NO
education,female,emotionally sensitive,0.0050779198038872,0.0009272718622098,NO
education,female,student,0.0043775170723165,0.0366137150236254,NO
education,female,seeks resilience,0.0042024163894239,0.003835702336895,NO
education,female,reflective,0.0038522150236385,0.0332051447703658,NO
education,female,focused on career goals,0.0033269129749606,0.0226429603528649,NO
education,female,delivers keynote speeches,0.0031518122920679,0.0165414476880761,NO
education,female,works on sustainable energy solutions,0.0028016109262826,0.0218431232307356,NO
education,female,adaptable,0.0028016109262826,0.0012808938015269,NO
education,female,innovative,0.0028016109262826,0.0344491565414138,NO
education,female,receives support from friends,0.0028016109262826,0.0344491565414138,NO
education,female,detail-oriented,0.0024514095604972,0.0075009971824142,NO
education,female,passionate about global change,0.0022763088776046,0.0056145555868737,NO
education,female,committed,0.0019261075118192,0.0147547032275763,NO
education,female,excited,0.0014008054631413,0.0425248904028684,NO
education,female,focuses on self-improvement,0.0014008054631413,0.0425248904028684,NO
sports,male,waddles,0.0027017069875967,6.863513280563642e-06,NO
sports,male,seeking redemption,0.0025789021245241,0.0221287844513525,NO
sports,male,family-oriented,0.0020876826722338,0.0262532118808446,NO
sports,male,aware of others' attention,0.0019648778091612,0.0075962720691368,NO
sports,male,clumsy,0.0014736583568709,0.0092546108864896,NO
sports,male,proving himself,0.0012280486307257,0.0043445407003655,NO
sports,male,seeks distraction,0.0011052437676531,0.026092346382606,NO
sports,male,feels uneasy,0.0011052437676531,0.026092346382606,NO
sports,male,quacks while socializing,0.0011052437676531,0.0075472408634677,NO
sports,male,has a high-strung temperament,0.0009824389045806,0.0265398030940436,NO
sports,male,experiences rivalry,0.0009824389045806,0.0427856139858001,NO
sports,male,shares passion with fans,0.0009824389045806,0.0265398030940436,NO
sports,male,inconsistent performance,0.000859634041508,0.0450957134116639,NO
sports,male,mischievous,0.000859634041508,0.0450957134116639,NO
sports,male,orange beak,0.0007368291784354,0.0409735267755649,NO
sports,female,determined,0.0116468378209142,1.9139763131162382e-05,NO
sports,female,shows resilience,0.008515967438948,1.4100137718777977e-05,NO
sports,female,emotional,0.0077645585472761,6.017088562699271e-06,NO
sports,female,focused,0.004257983719474,0.0313292213760611,NO
sports,female,skilled,0.0032561051972448,0.0231408541422891,NO
sports,female,confident,0.0031308703819661,0.0048682513712089,NO
sports,female,manages stress,0.0030056355666875,0.0026374077345544,NO
sports,female,compassionate,0.0025046963055729,0.0024494607518914,NO
sports,female,disciplined,0.002128991859737,0.0349352303797012,NO
sports,female,embraces spontaneity,0.002128991859737,0.0184215967970451,NO
sports,female,driven by adrenaline,0.001753287413901,0.0429980082739629,NO
sports,female,calm,0.0016280525986224,0.0410203584984837,NO
sports,female,values perseverance,0.0013775829680651,0.0149333268637985,NO
sports,female,supports athletes,0.0012523481527864,0.0432901998037877,NO
sports,female,ambitious,0.0012523481527864,0.0091982685860087,NO
sports,female,finds joy in friendship and teamwork,0.0012523481527864,0.0239744959346588,NO
sports,female,affectionate,0.0011271133375078,0.0382583069156778,NO
sports,female,witnesses a meaningful moment,0.0010018785222291,0.0427856139858001,NO
sports,female,seeks self-reflection,0.0010018785222291,0.0427856139858001,NO
sports,female,caregiver,0.0010018785222291,0.0265398030940436,NO
sports,female,performance-focused,0.0008766437069505,0.0450957134116639,NO
sports,female,finds solace,0.0007514088916718,0.0409735267755649,NO
healthcare,male,uses a wheelchair,0.0035497707439727,0.0002392129769453,NO
healthcare,male,concerned about a family member's health,0.0028102351723117,0.017371471493824,NO
healthcare,male,married,0.0019227924863185,0.0018704212828661,NO
healthcare,male,frantic,0.0017748853719863,0.0134334652057715,NO
healthcare,male,supports a friend's recovery,0.0017748853719863,0.0430164727651345,NO
healthcare,male,elderly,0.0013311640289897,0.0260110178113854,NO
healthcare,male,receives encouragement,0.0013311640289897,0.0381368422792088,NO
healthcare,male,fidgets,0.0010353498003253,0.0231006526941257,NO
healthcare,male,begins self-discovery,0.0010353498003253,0.0450148955561474,NO
healthcare,male,elite athlete,0.0010353498003253,0.0450148955561474,NO
healthcare,male,quacks loudly,0.0008874426859931,0.0409229101494202,NO
healthcare,female,emotionally resilient,0.0099909173478655,1.0338577413417986e-05,NO
healthcare,female,empathetic,0.0083257644565546,2.814345617614409e-05,NO
healthcare,female,determined,0.0043899485316379,0.031510256808343,NO
healthcare,female,reflective,0.0039358159249167,0.0082570909760906,NO
healthcare,female,caregiver,0.0036330608537693,0.0216976441883021,NO
healthcare,female,emotional,0.0036330608537693,0.0228779776725344,NO
healthcare,female,seeks solace,0.0022706630336058,0.0428715148331564,NO
healthcare,female,determined to regain health,0.0022706630336058,0.0428715148331564,NO
