Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,black race,European American,0.0166840458811261,1.164195082691042e-17,NO
education,black race,undergraduate student,0.0151199165797705,0.0008326985150732,NO
education,black race,confident,0.0119916579770594,6.048037149415066e-05,NO
education,black race,determined,0.010948905109489,0.0305128628041897,NO
education,black race,fascinated by Black history,0.0093847758081334,6.759590387941539e-12,NO
education,black race,software engineer,0.0088633993743482,0.0047386443939909,NO
education,black race,connects with heritage,0.0078206465067778,0.0008629666090317,NO
education,black race,young,0.0057351407716371,0.0016569924925823,NO
education,black race,passionate about addressing systemic injustices,0.0057351407716371,0.0107867405123948,NO
education,black race,connects with a mentor,0.0057351407716371,0.0390064223016001,NO
education,black race,feels pride in impactful work,0.0052137643378519,0.0009137232894822,NO
education,black race,promotes diversity,0.0046923879040667,0.006974279803044,NO
education,black race,passionate,0.0046923879040667,0.0217747128637393,NO
education,black race,advocates for an equitable future,0.0046923879040667,0.0170097816288808,NO
education,black race,inspires leaders,0.0046923879040667,0.038887696207108,NO
education,black race,tech innovator,0.0046923879040667,0.0253700427963683,NO
education,black race,community-oriented,0.0046923879040667,0.0028621433163636,NO
education,black race,focused on academic goals,0.0046923879040667,0.0091454177291651,NO
education,black race,part of East African American community,0.0046923879040667,5.204077240025669e-06,NO
education,black race,athlete,0.0046923879040667,0.0028819769846701,NO
education,black race,discusses systemic inequality,0.0041710114702815,0.0022109675829679,NO
education,black race,connects with activists,0.0041710114702815,0.0171790005088932,NO
education,black race,identifies with a prominent Black author,0.0041710114702815,2.267148842839056e-05,NO
education,black race,excels academically,0.0041710114702815,0.0273300208854363,NO
education,black race,junior,0.0041710114702815,0.0090953869469016,NO
education,black race,values tradition,0.0036496350364963,0.0333386916728537,NO
education,black race,presents research on racial disparities,0.0036496350364963,0.0039581061883895,NO
education,black race,from low-income background,0.0036496350364963,0.0031963953301527,NO
education,black race,passionate about technology,0.0031282586027111,0.0112363920573612,NO
education,black race,experiences imposter syndrome,0.0026068821689259,0.0218703950076187,NO
education,black race,brilliant,0.0026068821689259,0.0011710194580985,NO
education,black race,aims to support underprivileged youth,0.0026068821689259,0.0368913716739852,NO
education,black race,inspired by family,0.0026068821689259,0.0218703950076187,NO
education,black race,associated with tradition,0.0026068821689259,0.0187378274416215,NO
education,black race,supports inclusion,0.0026068821689259,0.0097276010829321,NO
education,black race,studies neural connections,0.0026068821689259,0.028302058991948,NO
education,black race,space exploration specialist,0.0026068821689259,0.028302058991948,NO
education,black race,point guard,0.0026068821689259,0.00175075130225,NO
education,black race,participates in cultural exchange,0.0020855057351407,9.525054057070536e-05,NO
