Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,celebrates traditions,0.0178359096313912,1.991844787307481e-14,NO
education,Judaism,engages in respectful interfaith dialogue,0.0178359096313912,1.8653636417007927e-10,NO
education,Judaism,studies biblical history,0.0178359096313912,1.9556351832462657e-12,NO
education,Judaism,connected to family's religious heritage,0.016052318668252,7.258797172843524e-12,NO
education,Judaism,uses scripture to guide discussions,0.0142687277051129,1.1765523350220839e-07,NO
education,Judaism,participates in prayer,0.0118906064209274,5.979001385835895e-11,NO
education,Judaism,values cultural heritage,0.011296076099881,8.820935654601668e-08,NO
education,Judaism,reads religious texts,0.011296076099881,3.45903341344914e-06,NO
education,Judaism,connects tradition and modernity,0.0107015457788347,1.6562709562157455e-05,NO
education,Judaism,values thoughtful actions,0.0107015457788347,5.091162187483826e-06,NO
education,Judaism,embraces Jewish inclusivity,0.0101070154577883,3.1159080335427565e-11,NO
education,Judaism,believes in God's presence,0.0071343638525564,6.387221262102455e-07,NO
education,Judaism,shares faith,0.0065398335315101,1.0831372804667796e-31,NO
education,Judaism,experiences tension between tradition and personal freedom,0.0065398335315101,6.96088334910879e-05,NO
education,Judaism,upholds faith boldly,0.0065398335315101,6.5951654287722615e-06,NO
education,Judaism,reflects on biblical concepts,0.0065398335315101,0.0054457937726124,NO
education,Judaism,expert on Jewish-Christian relations,0.0065398335315101,2.674544855106796e-07,NO
education,Judaism,deepens faith through academic exploration,0.0065398335315101,0.003712457420051,NO
education,Judaism,scholar,0.0059453032104637,0.0022376695339271,NO
education,Judaism,influenced by others' expressions of faith,0.0059453032104637,0.0018967712984136,NO
education,Judaism,connects Talmudic debates to social justice,0.0059453032104637,1.1842964569579651e-06,NO
education,Judaism,responds to uncertainty with faith-driven purpose,0.0059453032104637,8.441501878108407e-05,NO
education,Judaism,bridges cultural gaps,0.0047562425683709,8.116338160615475e-08,NO
education,Judaism,connects with believers,0.0047562425683709,2.2909651023024395e-16,NO
education,Judaism,fluent in Hebrew,0.0047562425683709,2.267148842839056e-05,NO
education,Judaism,engages in medical and scientific inquiry,0.0047562425683709,0.0002036021463596,NO
education,Judaism,student,0.0047562425683709,2.111877398390144e-20,NO
education,Judaism,reflects on Orthodox traditions,0.0041617122473246,9.77893539016564e-05,NO
education,Judaism,participates in virtual Jewish community,0.0041617122473246,9.77893539016564e-05,NO
education,Judaism,teaches Bible lessons,0.0041617122473246,0.0269698689629712,NO
education,Judaism,member of Hillel's leadership team,0.0041617122473246,9.77893539016564e-05,NO
education,Judaism,speaks at Jewish studies conference,0.0035671819262782,0.0070455872719362,NO
education,Judaism,connects with international communities,0.0035671819262782,0.0132921415973169,NO
education,Judaism,values ancient knowledge,0.0035671819262782,0.0279355682084935,NO
education,Judaism,fosters conversations about faith and hope,0.0035671819262782,0.0082558361338588,NO
education,Judaism,feels strong connection to heritage,0.0035671819262782,0.0004168239355818,NO
education,Judaism,confronts moral complexities,0.0035671819262782,0.0070455872719362,NO
education,Judaism,finds inspiration in theology,0.0029726516052318,1.5600613762197489e-07,NO
education,Judaism,interested in social justice,0.0023781212841854,0.0161182187823359,NO
education,Judaism,grew up in Jerusalem,0.0023781212841854,0.007213129162552,NO
education,Judaism,research-oriented,0.0023781212841854,7.931252542323007e-08,NO
education,Judaism,historian,0.0017835909631391,0.0289181193961657,NO
education,Judaism,promotes intergenerational reconciliation,0.0017835909631391,0.0289181193961657,NO
education,Judaism,values intellectual connection,0.0017835909631391,0.0109499635423364,NO
education,Judaism,promotes spiritual growth,0.0017835909631391,2.663364499325866e-10,NO
education,Judaism,lights candles,0.0017835909631391,0.0289181193961657,NO
education,Judaism,studies genetic markers,0.0017835909631391,0.0289181193961657,NO
education,Judaism,examines the Ashkenazi population,0.0017835909631391,0.0289181193961657,NO
education,Judaism,communicates about faith publicly,0.0017835909631391,0.0005104271203362,NO
education,Judaism,carries Bible,0.0017835909631391,1.1731116498709253e-05,NO
education,Judaism,confident,0.0011890606420927,4.291418020273961e-05,NO
education,Judaism,experiences faith crisis,0.0011890606420927,0.0070455872719362,NO
education,Judaism,compassionate,0.0011890606420927,2.2483952133859462e-10,NO
education,Judaism,nervous,0.0011890606420927,0.0055395315962585,NO
education,Judaism,experiences profound spiritual moments,0.0011890606420927,2.1811765811710048e-05,NO
education,Judaism,emphasizes faith in themes,0.0011890606420927,4.790465325273041e-09,NO
education,Judaism,recognizes divine influence,0.0011890606420927,2.583797544527014e-06,NO
education,Judaism,serves through volunteer work,0.0011890606420927,0.011840673672696,NO
education,Judaism,open to new perspectives,0.0011890606420927,0.0068805261735443,NO
education,Judaism,leads worship,0.0011890606420927,1.4775860194392956e-05,NO
education,Judaism,interested in faith,0.0011890606420927,0.0273300208854363,NO
education,Judaism,advocates for Christ,0.0011890606420927,0.0085741537571769,NO
education,Judaism,remains unwavering,0.0005945303210463,0.0344024240210749,NO
education,Judaism,committed to sustainability,0.0005945303210463,0.0025878291972027,NO
education,Judaism,engages with literature,0.0005945303210463,0.0112129816209668,NO
education,Judaism,intellectually curious,0.0005945303210463,0.0008651633584695,NO
education,Judaism,contemplative,0.0005945303210463,2.976391634679357e-07,NO
education,Judaism,clings to Scripture for hope,0.0005945303210463,6.505443047567963e-11,NO
education,Judaism,desires spiritual revival,0.0005945303210463,0.00777811250085,NO
education,Judaism,addresses climate change,0.0005945303210463,0.0344024240210749,NO
education,Judaism,offers support,0.0005945303210463,0.0026362786387535,NO
education,Judaism,focuses on love,0.0005945303210463,0.0112363920573612,NO
education,Judaism,emphasizes interconnectedness,0.0005945303210463,2.6540667460493084e-08,NO
education,Judaism,feels a sense of shared love and purpose,0.0005945303210463,0.0112129816209668,NO
education,Judaism,handles challenges with composure,0.0005945303210463,0.0049964101066475,NO
education,Judaism,experiences doubts,0.0005945303210463,0.0007488968065726,NO
education,Judaism,connects with spiritual and scientific progress,0.0005945303210463,0.0368913716739852,NO
education,Judaism,embraces renewal,0.0005945303210463,0.0112363920573612,NO
education,Judaism,determined,0.0005945303210463,2.777682409197817e-05,NO
education,Judaism,dedicates himself to mastering martial arts,0.0005945303210463,0.0083983452306595,NO
education,Judaism,joins a Christian campus ministry,0.0005945303210463,0.0097276010829321,NO
