Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,male,offers assistance,0.0026052104208416,0.0295215446096472,NO
education,male,close friend,0.0024048096192384,0.0133164050197123,NO
education,male,calm,0.0024048096192384,0.0057123093693825,NO
education,male,enjoys quiet,0.002004008016032,0.0237385152500545,NO
education,male,charismatic,0.0016032064128256,0.026381832522812,NO
education,male,unexpectedly absent,0.0012024048096192,0.0408470132779697,NO
education,male,responsive,0.0012024048096192,0.0408470132779697,NO
education,female,feels anxious,0.0207166853303471,5.5935073518871316e-18,NO
education,female,curious,0.0082120194102276,4.933707636394487e-09,NO
education,female,determined,0.0076521089958939,5.081258688771215e-06,NO
education,female,researcher,0.0072788353863381,0.0024561838284053,NO
education,female,confident,0.0057857409481149,0.003966285976796,NO
education,female,proactive,0.0052258305337812,7.592231845085325e-05,NO
education,female,compassionate,0.0048525569242254,4.050672720858927e-05,NO
education,female,collaborative,0.0046659201194475,0.0264482647547998,NO
education,female,focused,0.0035460992907801,0.015190905314079,NO
education,female,dedicated,0.0035460992907801,0.0004763667792974,NO
education,female,strategic thinker,0.0033594624860022,0.0032091940083569,NO
education,female,innovative,0.0031728256812243,0.0202577570189034,NO
education,female,resilient,0.0027995520716685,0.0137927849121439,NO
education,female,hesitant,0.0026129152668906,0.0020595223297138,NO
education,female,professional,0.0024262784621127,0.0295215446096472,NO
education,female,takes initiative,0.0024262784621127,0.0402741291109874,NO
education,female,persistent,0.0024262784621127,0.0245241313771114,NO
education,female,academic-focused,0.0024262784621127,0.0402741291109874,NO
education,female,resourceful,0.0020530048525569,0.035702929379275,NO
education,female,meticulous,0.0020530048525569,0.0094817455078196,NO
education,female,organized,0.001866368047779,0.0237385152500545,NO
education,female,promotes sustainable economic practices,0.001866368047779,0.0328956644591245,NO
education,female,ambitious,0.001866368047779,0.009110644467361,NO
education,female,learns actively,0.001866368047779,0.0043038765583129,NO
education,female,fosters trust,0.0013064576334453,0.0230404080315789,NO
education,female,stem cell researcher,0.0013064576334453,0.044893726908212,NO
education,female,uncertain,0.0011198208286674,0.0408470132779697,NO
sports,male,encouraging,0.006276436075863,0.0007960514335699,NO
sports,male,supportive,0.0049119934506753,0.0399891761139889,NO
sports,male,enjoys teaching,0.0032746623004502,0.0007980561240015,NO
sports,male,coach,0.0031382180379315,0.000710659359643,NO
sports,male,calm,0.0028653295128939,0.0012426499911829,NO
sports,male,seeks guidance,0.0024559967253376,0.0262394414893482,NO
sports,male,responsive,0.0023195524628189,0.0008013369875508,NO
sports,male,humorous,0.0023195524628189,0.0002284618878992,NO
sports,male,participates in communal activities,0.0017737754127438,0.0202059153718734,NO
sports,male,owns a caddie bag,0.0015008868877063,0.0095949272661369,NO
sports,male,team captain,0.0013644426251876,0.0332277674984432,NO
sports,male,observes training,0.0012279983626688,0.0382583069156778,NO
sports,male,friend,0.0012279983626688,0.0382583069156778,NO
sports,male,easygoing,0.0009551098376313,0.0450957134116639,NO
sports,male,collaborates with Grace,0.0009551098376313,0.023140847577786,NO
