Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,black race,builds trust,0.0066141732283464,0.0078890573425624,NO
education,black race,American,0.0066141732283464,4.243383424925002e-09,NO
education,black race,advocates for social justice,0.0062992125984251,6.088703724110877e-05,NO
education,black race,engineer,0.0050393700787401,0.0402291635913937,NO
education,black race,interested in African-American historians,0.0047244094488188,3.829363950958233e-06,NO
education,black race,addresses social inequality,0.0040944881889763,0.0026177573083835,NO
education,black race,assists others,0.0037795275590551,0.0025627334521096,NO
education,black race,from Lagos,0.0037795275590551,6.70677800833942e-08,NO
education,black race,fosters understanding,0.0034645669291338,0.0097600869165209,NO
education,black race,studies African culture,0.0034645669291338,2.4115304082908143e-06,NO
education,black race,leader,0.0034645669291338,0.0366037007754289,NO
education,black race,senior,0.0031496062992125,0.011091610472188,NO
education,black race,marketing professional,0.00251968503937,0.020007998461995,NO
education,black race,warm and supportive,0.00251968503937,0.0479345452596904,NO
education,black race,skilled,0.0022047244094488,0.044422449911111,NO
education,black race,fosters international partnerships,0.0022047244094488,0.0398499877075488,NO
education,black race,charismatic,0.0022047244094488,0.0006833306588526,NO
education,black race,freelance writer,0.0022047244094488,0.0040893489466819,NO
education,black race,struggles with complex math problems,0.0022047244094488,0.0003341650854238,NO
education,black race,values shared interests,0.0018897637795275,0.0303230150307047,NO
education,black race,open to collaboration,0.0015748031496062,0.0002388572768633,NO
education,black race,fights against systemic oppression,0.0015748031496062,0.0098897095982237,NO
education,black race,open to new ideas,0.001259842519685,0.0404403413095341,NO
education,black race,joins study groups,0.001259842519685,0.0492655481394109,NO
education,black race,identifies anomalies,0.001259842519685,0.0347554331697523,NO
education,black race,struggling student,0.001259842519685,0.0073682521409879,NO
education,black race,knowledgeable,0.0009448818897637,0.0304085251636249,NO
education,black race,overcomes racism,0.0009448818897637,0.0291042102583809,NO
education,black race,takes detailed notes,0.0009448818897637,0.005502393235741,NO
education,black race,focuses on police misconduct,0.0009448818897637,0.0291042102583809,NO
education,black race,commiserates with a friend,0.0009448818897637,0.0291042102583809,NO
education,black race,troubled by racial issues,0.0009448818897637,0.0287943846105232,NO
education,black race,academically focused,0.0006299212598425,0.0011627973353868,NO
education,black race,from Beijing,0.0003149606299212,6.104660578887724e-05,NO
education,black race,nervous,0.0003149606299212,1.5138652917131214e-10,NO
education,black race,wears hijab,0.0003149606299212,5.680980121099126e-07,NO
education,black race,martial artist,0.0003149606299212,0.0120231210929747,NO
education,black race,emphasizes proper technique,0.0003149606299212,0.0347554331697523,NO
education,white race,nervous,0.0129509713228492,1.5138652917131214e-10,NO
education,white race,researcher,0.0092506938020351,0.0189728520008798,NO
education,white race,open to collaboration,0.0067838421214924,0.0002388572768633,NO
education,white race,values shared interests,0.0064754856614246,0.0303230150307047,NO
education,white race,builds trust,0.0052420598211532,0.0078890573425624,NO
education,white race,struggles with complex math problems,0.0052420598211532,0.0003341650854238,NO
education,white race,curious,0.0049337033610854,9.725005529598365e-05,NO
education,white race,senior,0.0049337033610854,0.011091610472188,NO
education,white race,marketing professional,0.0046253469010175,0.020007998461995,NO
education,white race,engineer,0.0024668516805427,0.0402291635913937,NO
education,white race,struggling student,0.0024668516805427,0.0073682521409879,NO
education,white race,bridges cultural gaps,0.0015417823003391,0.0045158873167805,NO
education,white race,delivers keynote speech,0.0015417823003391,0.0222254432730162,NO
education,white race,troubled by racial issues,0.0015417823003391,0.0287943846105232,NO
education,white race,leader,0.0015417823003391,0.0366037007754289,NO
education,white race,fosters understanding,0.0015417823003391,0.0097600869165209,NO
education,white race,delivers empowering speeches on innovation and teamwork,0.0012334258402713,0.0072978331237756,NO
education,white race,addresses social inequality,0.0012334258402713,0.0026177573083835,NO
education,white race,uses broken Mandarin,0.0012334258402713,0.0453249654617428,NO
education,white race,American,0.0012334258402713,4.243383424925002e-09,NO
education,white race,teacher,0.0012334258402713,0.0309634747498515,NO
education,white race,emphasizes proper technique,0.0012334258402713,0.0347554331697523,NO
education,white race,assists others,0.0009250693802035,0.0025627334521096,NO
education,white race,data perceived as inconsistent,0.0009250693802035,0.0291042102583809,NO
education,white race,advocates for social justice,0.0009250693802035,6.088703724110877e-05,NO
education,white race,takes detailed notes,0.0009250693802035,0.005502393235741,NO
education,white race,focused,0.0009250693802035,1.2391553196618797e-05,NO
education,white race,interested in American history,0.0009250693802035,0.0291042102583809,NO
education,white race,freelance writer,0.0009250693802035,0.0040893489466819,NO
education,white race,feels intimidated,0.0009250693802035,0.0291042102583809,NO
education,white race,feels out of place in school,0.0009250693802035,0.0291042102583809,NO
education,white race,athletic,0.0009250693802035,0.0291042102583809,NO
education,white race,shows vulnerability,0.0009250693802035,0.0291042102583809,NO
education,white race,interested in African-American historians,0.0006167129201356,3.829363950958233e-06,NO
education,white race,cross-culturally aware,0.0006167129201356,0.00871770544788,NO
education,white race,open to new ideas,0.0006167129201356,0.0404403413095341,NO
education,white race,quiet,0.0006167129201356,0.0377619837652547,NO
education,white race,international student,0.0006167129201356,2.4028256060636437e-15,NO
education,white race,interested in ancient history,0.0003083564600678,0.0347554331697523,NO
education,white race,fights against systemic oppression,0.0003083564600678,0.0098897095982237,NO
education,white race,interested in cultural heritage preservation,0.0003083564600678,0.0347554331697523,NO
education,white race,explains concepts out loud,0.0003083564600678,0.0374125493809073,NO
education,white race,dispels prejudices,0.0003083564600678,0.0347554331697523,NO
education,white race,appreciates Middle Eastern cuisine,0.0003083564600678,0.0347554331697523,NO
education,white race,studies African culture,0.0003083564600678,2.4115304082908143e-06,NO
education,white race,observes interactions,0.0003083564600678,0.0347554331697523,NO
education,white race,interested in robotics,0.0003083564600678,0.0374125493809073,NO
education,middle-east race,international student,0.0142503097893432,2.4028256060636437e-15,NO
education,middle-east race,studies Arabic script,0.0074349442379182,1.056056747665647e-08,NO
education,middle-east race,bridges cultural gaps,0.0071251548946716,0.0045158873167805,NO
education,middle-east race,fosters international partnerships,0.0049566294919454,0.0398499877075488,NO
education,middle-east race,engineer,0.0046468401486988,0.0402291635913937,NO
education,middle-east race,participates in cultural events,0.0046468401486988,7.367515768899136e-06,NO
education,middle-east race,researcher,0.0043370508054522,0.0189728520008798,NO
education,middle-east race,wears hijab,0.0037174721189591,5.680980121099126e-07,NO
education,middle-east race,teacher,0.0034076827757125,0.0309634747498515,NO
education,middle-east race,knowledgeable,0.0027881040892193,0.0304085251636249,NO
education,middle-east race,cross-culturally aware,0.0027881040892193,0.00871770544788,NO
education,middle-east race,skilled,0.0027881040892193,0.044422449911111,NO
education,middle-east race,warm and supportive,0.0024783147459727,0.0479345452596904,NO
education,middle-east race,builds trust,0.0024783147459727,0.0078890573425624,NO
education,middle-east race,engaged in translation work,0.0018587360594795,0.0004282189959681,NO
education,middle-east race,advocates for social justice,0.0015489467162329,6.088703724110877e-05,NO
education,middle-east race,interested in robotics,0.0015489467162329,0.0374125493809073,NO
education,middle-east race,recent immigrant,0.0015489467162329,0.0287943846105232,NO
education,middle-east race,dispels prejudices,0.0012391573729863,0.0347554331697523,NO
education,middle-east race,interested in cultural heritage preservation,0.0012391573729863,0.0347554331697523,NO
education,middle-east race,celebrates Ramadan,0.0012391573729863,0.0072978331237756,NO
education,middle-east race,joins study groups,0.0012391573729863,0.0492655481394109,NO
education,middle-east race,prepares traditional food,0.0012391573729863,0.0072978331237756,NO
education,middle-east race,appreciates Middle Eastern cuisine,0.0012391573729863,0.0347554331697523,NO
education,middle-east race,integrates cultural symbols,0.0012391573729863,0.0347554331697523,NO
education,middle-east race,martial artist,0.0012391573729863,0.0120231210929747,NO
education,middle-east race,curious,0.0009293680297397,9.725005529598365e-05,NO
education,middle-east race,patient,0.0009293680297397,0.0005163123652235,NO
education,middle-east race,interested in Sufism,0.0009293680297397,0.0291042102583809,NO
education,middle-east race,transcribes Arabic documents,0.0009293680297397,0.0291042102583809,NO
education,middle-east race,communicates with instructor,0.0009293680297397,0.0291042102583809,NO
education,middle-east race,advocates for Islamic educational principles,0.0009293680297397,0.0291042102583809,NO
education,middle-east race,recently moved to the U.S. for college,0.0009293680297397,0.0291042102583809,NO
education,middle-east race,focused,0.0006195786864931,1.2391553196618797e-05,NO
education,middle-east race,delivers keynote speech,0.0006195786864931,0.0222254432730162,NO
education,middle-east race,African-American,0.0006195786864931,0.0006160031268241,NO
education,middle-east race,academically focused,0.0003097893432465,0.0011627973353868,NO
education,middle-east race,quiet,0.0003097893432465,0.0377619837652547,NO
education,middle-east race,uses microscope,0.0003097893432465,0.0026518762426752,NO
education,middle-east race,from Beijing,0.0003097893432465,6.104660578887724e-05,NO
education,middle-east race,explains concepts out loud,0.0003097893432465,0.0374125493809073,NO
education,asian race,researcher,0.0078012135221034,0.0189728520008798,NO
education,asian race,focused,0.0066454781854955,1.2391553196618797e-05,NO
education,asian race,values shared interests,0.0060676105171915,0.0303230150307047,NO
education,asian race,patient,0.0060676105171915,0.0005163123652235,NO
education,asian race,nervous,0.0049118751805836,1.5138652917131214e-10,NO
education,asian race,knowledgeable,0.0040450736781277,0.0304085251636249,NO
education,asian race,teacher,0.0040450736781277,0.0309634747498515,NO
education,asian race,skilled,0.0037561398439757,0.044422449911111,NO
education,asian race,assists others,0.0037561398439757,0.0025627334521096,NO
education,asian race,academically focused,0.0037561398439757,0.0011627973353868,NO
education,asian race,takes detailed notes,0.0034672060098237,0.005502393235741,NO
education,asian race,international student,0.0034672060098237,2.4028256060636437e-15,NO
education,asian race,martial artist,0.0034672060098237,0.0120231210929747,NO
education,asian race,bridges cultural gaps,0.0031782721756717,0.0045158873167805,NO
education,asian race,from Beijing,0.0028893383415197,6.104660578887724e-05,NO
education,asian race,quiet,0.0026004045073678,0.0377619837652547,NO
education,asian race,joins study groups,0.0026004045073678,0.0492655481394109,NO
education,asian race,marketing professional,0.0023114706732158,0.020007998461995,NO
education,asian race,open to new ideas,0.0020225368390638,0.0404403413095341,NO
education,asian race,senior,0.0020225368390638,0.011091610472188,NO
education,asian race,warm and supportive,0.0017336030049118,0.0479345452596904,NO
education,asian race,uses microscope,0.0017336030049118,0.0026518762426752,NO
education,asian race,leader,0.0014446691707598,0.0366037007754289,NO
education,asian race,curious,0.0014446691707598,9.725005529598365e-05,NO
education,asian race,explains concepts out loud,0.0014446691707598,0.0374125493809073,NO
education,asian race,observes interactions,0.0011557353366079,0.0347554331697523,NO
education,asian race,interested in ancient history,0.0011557353366079,0.0347554331697523,NO
education,asian race,participates in cultural events,0.0011557353366079,7.367515768899136e-06,NO
education,asian race,uses broken Mandarin,0.0011557353366079,0.0453249654617428,NO
education,asian race,fosters understanding,0.0008668015024559,0.0097600869165209,NO
education,asian race,interested in African-American historians,0.0008668015024559,3.829363950958233e-06,NO
education,asian race,recent immigrant,0.0008668015024559,0.0287943846105232,NO
education,asian race,demonstrates quick understanding,0.0008668015024559,0.0291042102583809,NO
education,asian race,shows concern for peers,0.0008668015024559,0.0291042102583809,NO
education,asian race,open to collaboration,0.0005778676683039,0.0002388572768633,NO
education,asian race,American,0.0005778676683039,4.243383424925002e-09,NO
education,asian race,studies Arabic script,0.0005778676683039,1.056056747665647e-08,NO
education,asian race,struggles with complex math problems,0.0005778676683039,0.0003341650854238,NO
education,asian race,charismatic,0.0002889338341519,0.0006833306588526,NO
education,asian race,integrates cultural symbols,0.0002889338341519,0.0347554331697523,NO
education,asian race,interested in robotics,0.0002889338341519,0.0374125493809073,NO
education,asian race,addresses social inequality,0.0002889338341519,0.0026177573083835,NO
education,asian race,identifies anomalies,0.0002889338341519,0.0347554331697523,NO
education,asian race,struggling student,0.0002889338341519,0.0073682521409879,NO
sports,black race,supportive friend,0.0069114470842332,0.0168436669917568,NO
sports,black race,promotes cross-cultural cooperation,0.0060475161987041,1.4204894947628276e-05,NO
sports,black race,American,0.0060475161987041,1.1111794469775378e-09,NO
sports,black race,overcame setbacks with encouragement,0.0049676025917926,0.0069621358585413,NO
sports,black race,talented,0.0047516198704103,0.0237361787217354,NO
sports,black race,confident,0.0036717062634989,0.0321139362079949,NO
sports,black race,team-oriented,0.0032397408207343,0.0284871661465456,NO
sports,black race,fast reflexes,0.0028077753779697,0.0058512558037597,NO
sports,black race,focused,0.0025917926565874,0.0036990793233627,NO
sports,black race,collaborates with colleague,0.0023758099352051,0.0259924131239122,NO
sports,black race,from Ohio,0.0023758099352051,0.0006699439918168,NO
sports,black race,shares passion for rock climbing,0.0021598272138228,0.0369498692797981,NO
sports,black race,racing enthusiast,0.0021598272138228,0.0469910929389295,NO
sports,black race,encourages,0.0019438444924406,0.0323110790765567,NO
sports,black race,values community,0.0019438444924406,0.0449113150249805,NO
sports,black race,is charismatic,0.0019438444924406,0.0002420920490114,NO
sports,black race,competitive,0.0017278617710583,0.0016292781318899,NO
sports,black race,baseball enthusiast,0.001511879049676,0.0036591290936769,NO
sports,black race,practices vinyasa flow,0.001511879049676,0.0033284498221932,NO
sports,black race,becomes frustrated,0.0012958963282937,0.0113434429816383,NO
sports,black race,calm,0.0012958963282937,0.0439645569458279,NO
sports,black race,precise,0.0010799136069114,0.0242354396655803,NO
sports,black race,tall and athletic,0.0010799136069114,0.0099441070831029,NO
