Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,black race,frustrated,0.0063791008505467,6.057230754142645e-13,NO
education,black race,feels belittled,0.00546780072904,0.0266794119081622,NO
education,black race,American,0.0048602673147023,9.882450521914524e-09,NO
education,black race,supportive,0.0048602673147023,0.0007293456560844,NO
education,black race,reacts to racist comments,0.0045565006075334,0.0018416053680756,NO
education,black race,faces bias,0.0045565006075334,0.004298263249045,NO
education,black race,racial tension,0.0042527339003645,0.000706932716638,NO
education,black race,observant,0.0039489671931956,0.0140542431450958,NO
education,black race,engages with African American history,0.0039489671931956,1.3262622135923238e-07,NO
education,black race,advocates for social justice,0.0036452004860267,0.0103881620502474,NO
education,black race,reflects on systemic inequality,0.0036452004860267,0.041305906073961,NO
education,black race,discusses affirmative action,0.0033414337788578,0.0041452188931481,NO
education,black race,determined,0.0033414337788578,0.0306328441071577,NO
education,black race,struggles with technology,0.0033414337788578,0.0049226959336936,NO
education,black race,nervous,0.0024301336573511,3.6772210749037986e-14,NO
education,black race,experiences technical failure,0.0024301336573511,0.0098220568505157,NO
education,black race,shares personal experiences,0.0024301336573511,0.0322478282704834,NO
education,black race,corrects racial missteps,0.0021263669501822,0.0180390173585985,NO
education,black race,experienced,0.0018226002430133,0.0320411465274991,NO
education,black race,passionate,0.0018226002430133,0.0376741256203604,NO
education,black race,has blonde hair,0.0018226002430133,0.0114795860179487,NO
education,black race,young,0.0015188335358444,0.0098897095982237,NO
education,black race,frustrated by lack of representation,0.0015188335358444,0.0374125493809073,NO
education,black race,from Nigeria,0.0015188335358444,0.0181262928369632,NO
education,black race,non-student,0.0015188335358444,0.0419777747137247,NO
education,black race,becomes distant,0.0015188335358444,0.039366617987875,NO
education,black race,shares career challenges,0.0012150668286755,0.0072978331237756,NO
education,black race,easily frustrated by disruptions,0.0012150668286755,0.0077730070328917,NO
education,black race,feels excluded from discussions,0.0012150668286755,0.0180390173585985,NO
education,black race,experiences disappointment,0.0012150668286755,0.0087855669606279,NO
education,black race,faces microaggressions,0.0012150668286755,0.0072978331237756,NO
education,black race,faces competitive challenges,0.0012150668286755,0.0025627334521096,NO
education,black race,machine learning,0.0012150668286755,0.0347554331697523,NO
education,black race,patient,0.0012150668286755,0.0159508946987885,NO
education,black race,struggles with internet connection,0.0012150668286755,0.0030199873561356,NO
education,black race,struggles in algebra,0.0012150668286755,0.027631969163339,NO
education,black race,raises awareness about racism,0.0009113001215066,0.0291042102583809,NO
education,black race,successful,0.0009113001215066,0.0291042102583809,NO
education,black race,embarrassed by mishap,0.0009113001215066,0.002038758449309,NO
education,black race,collaborates with local communities,0.0009113001215066,0.0291042102583809,NO
education,black race,quick to take offense,0.0009113001215066,0.033237188827241,NO
education,black race,independent,0.0009113001215066,0.0291042102583809,NO
education,black race,suspects sabotage,0.0009113001215066,0.0291042102583809,NO
education,black race,reflects on personal potential,0.0009113001215066,0.0291042102583809,NO
education,black race,feels ineffective,0.0009113001215066,1.3095762310641978e-05,NO
education,black race,awkward in interactions,0.0006075334143377,0.0186272264480914,NO
education,black race,wears Middle Eastern clothing,0.0006075334143377,6.449802100486628e-08,NO
education,black race,self-conscious,0.0006075334143377,0.0304667866374106,NO
education,black race,reserved,0.0006075334143377,0.0255937889853802,NO
education,black race,defensive,0.0006075334143377,0.0003522628651183,NO
education,black race,helpful,0.0006075334143377,0.039366617987875,NO
education,black race,experiences academic anxiety,0.0006075334143377,0.0183376949130913,NO
education,black race,struggles with Arabic script,0.0006075334143377,0.0259596317749572,NO
education,black race,from China,0.0006075334143377,0.0024133229453572,NO
education,black race,despondent,0.0003037667071688,0.0301937368587745,NO
education,black race,shows hesitation,0.0003037667071688,0.014660927097039,NO
education,black race,feels embarrassed,0.0003037667071688,0.0009031188901321,NO
education,black race,feels defensive,0.0003037667071688,0.0347554331697523,NO
education,black race,attempts to connect professionally,0.0003037667071688,0.0347554331697523,NO
education,black race,struggles with coding,0.0003037667071688,0.0026518762426752,NO
education,black race,notices exclusion,0.0003037667071688,0.0347554331697523,NO
education,black race,overlooked,0.0003037667071688,0.0224970743012789,NO
education,black race,takes Arabic class,0.0003037667071688,0.0347554331697523,NO
education,black race,Muslim,0.0003037667071688,0.0098897095982237,NO
education,white race,frustrated,0.0179640718562874,6.057230754142645e-13,NO
education,white race,nervous,0.0156829198745366,3.6772210749037986e-14,NO
education,white race,feels belittled,0.0071285999429712,0.0266794119081622,NO
education,white race,defensive,0.0059880239520958,0.0003522628651183,NO
education,white race,struggles with cultural nuances,0.0057028799543769,0.0081296195154703,NO
education,white race,struggles with technology,0.0051325919589392,0.0049226959336936,NO
education,white race,feels embarrassed,0.0048474479612204,0.0009031188901321,NO
education,white race,embarrassed by mishap,0.0042771599657827,0.002038758449309,NO
education,white race,experiences academic anxiety,0.0042771599657827,0.0183376949130913,NO
education,white race,awkward in interactions,0.0039920159680638,0.0186272264480914,NO
