Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,devout,0.0254777070063694,2.762079668956854e-37,NO
education,Judaism,observant,0.0227958431109621,1.8676219734307532e-30,NO
education,Judaism,respects other traditions,0.0181025812939993,1.5871539071183078e-17,NO
education,Judaism,promotes unity across faiths,0.0147502514247401,0.0008811758894655,NO
education,Judaism,interested in interfaith dialogue,0.0140797854508883,0.0025804455031761,NO
education,Judaism,values understanding of different faiths,0.0087160576600737,0.0046635912878718,NO
education,Judaism,engages in spiritual practices,0.0087160576600737,3.884491408596065e-15,NO
education,Judaism,researches early biblical writings,0.0083808246731478,3.647665574660114e-14,NO
education,Judaism,speaks Hebrew,0.007710358699296,4.626476433832288e-15,NO
education,Judaism,discusses scripture,0.00737512571237,0.0002020765185596,NO
education,Judaism,values love and forgiveness,0.0070398927254441,0.0140561617952707,NO
education,Judaism,prays for others,0.0060341937646664,7.072339487885985e-06,NO
education,Judaism,advocates for mutual respect,0.0053637277908146,0.0172639584505668,NO
education,Judaism,shares views on faith,0.0053637277908146,1.1132087334763572e-11,NO
education,Judaism,promotes cultural exchange,0.0053637277908146,0.0001487700210199,NO
education,Judaism,reads religious texts,0.0046932618169627,0.0035229526340615,NO
education,Judaism,curious about other beliefs,0.0040227958431109,0.006608046351017,NO
education,Judaism,attends religious gatherings on Sundays,0.0033523298692591,0.0032764467992654,NO
education,Judaism,orthodox in religious practices,0.0030170968823332,5.536818201226396e-06,NO
education,Judaism,practicing,0.0026818638954073,8.006102744233892e-07,NO
education,Judaism,collaborates with another religious community,0.0023466309084813,0.0348244156696958,NO
education,Judaism,believes in God’s love through service,0.0020113979215554,0.000525532981183,NO
education,Judaism,shows curiosity about Islam,0.0020113979215554,2.992916067709313e-21,NO
education,Judaism,curious about Buddhist teachings,0.0020113979215554,5.004269925435784e-53,NO
education,Judaism,acknowledges shared biblical heritage,0.0016761649346295,0.0098897095982237,NO
education,Judaism,initiates charitable efforts,0.0016761649346295,0.0374125493809073,NO
education,Judaism,connects with karmic responsibility and forgiveness,0.0013409319477036,0.0259596317749572,NO
education,Judaism,interested in Islamic teachings,0.0013409319477036,3.16620944324935e-08,NO
education,Judaism,doubts meditation practices,0.0013409319477036,1.613068400588823e-44,NO
education,Judaism,graduate student,0.0013409319477036,0.0151207539108914,NO
education,Judaism,celebrates holidays,0.0013409319477036,0.0001018639025891,NO
education,Judaism,recites traditional prayers,0.0013409319477036,0.041314082867608,NO
education,Judaism,seeks balance,0.0010056989607777,0.0376741256203604,NO
education,Judaism,passionate about religious discussion,0.0010056989607777,0.0291042102583809,NO
education,Judaism,introspective,0.0010056989607777,0.0032388399340977,NO
education,Judaism,rooted in tradition,0.0010056989607777,0.0291042102583809,NO
education,Judaism,highlights parallels between selflessness in Buddhism and Christianity,0.0006704659738518,0.0179519731594697,NO
education,Judaism,learns Arabic,0.0006704659738518,0.0222254432730162,NO
education,Judaism,quieter,0.0006704659738518,0.0016030098830111,NO
education,Judaism,engages in quiet contemplation,0.0003352329869259,0.0347554331697523,NO
education,Judaism,reflects on God's omnipotence,0.0003352329869259,0.0180390173585985,NO
education,Judaism,gaining insight into interconnectedness,0.0003352329869259,1.012724808200015e-05,NO
education,Judaism,student council member,0.0003352329869259,0.0030975516665295,NO
education,Judaism,leads meditation classes,0.0003352329869259,0.0032950951338154,NO
education,Judaism,active in faith community,0.0003352329869259,0.0374125493809073,NO
education,Judaism,volunteered internationally,0.0003352329869259,0.0009013996706474,NO
education,Muslim,devout,0.0339758248938255,2.762079668956854e-37,NO
education,Muslim,promotes unity across faiths,0.01796798431885,0.0008811758894655,NO
education,Muslim,interested in interfaith dialogue,0.0150277687030382,0.0025804455031761,NO
education,Muslim,promotes cultural exchange,0.0088206468474354,0.0001487700210199,NO
education,Muslim,practicing,0.0084939562234563,8.006102744233892e-07,NO
education,Muslim,shares views on faith,0.00718719372754,1.1132087334763572e-11,NO
education,Muslim,values understanding of different faiths,0.0065338124795818,0.0046635912878718,NO
education,Muslim,wears a yarmulke,0.0065338124795818,4.781787527173821e-09,NO
education,Muslim,prays for others,0.0065338124795818,7.072339487885985e-06,NO
education,Muslim,graduate student,0.0049003593596863,0.0151207539108914,NO
education,Muslim,respects other traditions,0.0045736687357072,1.5871539071183078e-17,NO
education,Muslim,compassionate,0.0042469781117281,0.001708508758152,NO
education,Muslim,advocates for mutual respect,0.0042469781117281,0.0172639584505668,NO
