Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,discusses faith,0.023288637967537,2.2371283935792426e-15,NO
education,Judaism,shares stories,0.0179957657021877,2.0503736443979032e-10,NO
education,Judaism,values respect,0.0176429075511644,5.656522345960552e-06,NO
education,Judaism,values interfaith dialogue,0.0172900494001411,3.245294934954265e-05,NO
education,Judaism,studies the Bible,0.0162314749470712,1.9184847491098516e-17,NO
education,Judaism,committed to kindness,0.0144671841919548,8.817034901575983e-07,NO
education,Judaism,draws from religious tradition,0.0141143260409315,4.4497422326817307e-08,NO
education,Judaism,religious,0.0141143260409315,5.0277357612445785e-11,NO
education,Judaism,values spiritual growth,0.0081157374735356,0.0369367112631866,NO
education,Judaism,shares religious texts with others,0.0077628793225123,0.0004244959055374,NO
education,Judaism,offers prayer,0.0077628793225123,4.6848633279704446e-14,NO
education,Judaism,shares stories from his tradition,0.0067043048694424,3.1926897725130655e-05,NO
education,Judaism,open to dialogue,0.0063514467184191,0.003138616871125,NO
education,Judaism,passionate,0.0063514467184191,2.175529961904465e-06,NO
education,Judaism,respects differing beliefs,0.004940014114326,0.0438847875400305,NO
education,Judaism,collaborates across differences,0.004940014114326,0.0230571208368092,NO
education,Judaism,believes in Jesus as the Messiah,0.0045871559633027,9.404001359562928e-11,NO
education,Judaism,student,0.0045871559633027,0.0166741344345578,NO
education,Judaism,emphasizes love,0.0038814396612561,0.0265192756144281,NO
education,Judaism,seeks higher purpose,0.0038814396612561,0.0019337564128881,NO
education,Judaism,recites a psalm,0.0038814396612561,1.940986850810814e-07,NO
education,Judaism,participated in interfaith initiatives,0.0038814396612561,0.0243440295420653,NO
education,Judaism,researcher,0.0031757233592095,0.0060286784601622,NO
education,Judaism,celebrates cultural exchange,0.0031757233592095,0.0150061740945946,NO
education,Judaism,engaged in dialogue on religious freedom,0.0028228652081863,0.0179519731594697,NO
education,Judaism,advocates for peace,0.0028228652081863,0.0006217192598805,NO
education,Judaism,reverent,0.0028228652081863,0.0130657223314055,NO
education,Judaism,proud of heritage,0.0028228652081863,0.0026800083156119,NO
education,Judaism,builds cross-cultural friendships,0.0028228652081863,0.0373969801233615,NO
education,Judaism,open to understanding other faiths,0.002470007057163,0.0423752746707967,NO
education,Judaism,eager to learn,0.002470007057163,0.024458430284316,NO
education,Judaism,explains tradition,0.002470007057163,0.0006833306588526,NO
education,Judaism,speaks of sin,0.002470007057163,0.0052185631511802,NO
education,Judaism,discovered a book with Jewish themes,0.002470007057163,0.0006833306588526,NO
education,Judaism,challenges stereotypes,0.002470007057163,0.0105351693717415,NO
education,Judaism,connects deeply with heritage,0.0021171489061397,0.0004282189959681,NO
education,Judaism,scripture,0.0021171489061397,0.0004733447155059,NO
education,Judaism,resilient,0.0017642907551164,0.0374125493809073,NO
education,Judaism,shares family history,0.0017642907551164,0.0098897095982237,NO
education,Judaism,contributes to blending spirituality,0.0014114326040931,0.0320101972366523,NO
education,Judaism,speaks about forgiveness,0.0010585744530698,4.653273512470148e-12,NO
education,Judaism,holds Bible,0.0010585744530698,0.0030995708487888,NO
education,Judaism,reads a Christian-themed book,0.0010585744530698,0.0173436615461201,NO
education,Judaism,uses Bible,0.0007057163020465,4.3795450713995924e-24,NO
education,Judaism,sincere,0.0007057163020465,0.0006209882424546,NO
education,Judaism,focuses on purpose,0.0007057163020465,7.770099108811826e-09,NO
education,Judaism,focuses on redemption,0.0007057163020465,2.861162670800982e-06,NO
