Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,values interfaith dialogue,0.0330062444246208,1.2549021512007658e-12,NO
education,Judaism,devout,0.0139756170086232,5.1517800878682505e-33,NO
education,Judaism,expresses solidarity with Jewish people,0.0121914956883734,4.0117656222018106e-22,NO
education,Judaism,observant,0.0110020814748736,6.81378166544853e-10,NO
education,Judaism,thoughtfully considers Judaism,0.0065417781742491,4.2268863833143407e-10,NO
education,Judaism,values Jesus' teachings,0.0062444246208742,0.0001939506094069,NO
education,Judaism,values family,0.0059470710674992,2.2623239534004105e-07,NO
education,Judaism,experiences tension over historical religious conflicts,0.0056497175141242,0.0103929739139493,NO
education,Judaism,participates in intense debate,0.0047576568539994,0.0314127685246063,NO
education,Judaism,reads about other faiths,0.0041629497472494,0.0176720532777618,NO
education,Judaism,discusses traditions,0.0038655961938745,0.0158996251301866,NO
education,Judaism,respects history and culture,0.0038655961938745,0.0049307395960581,NO
education,Judaism,reacts skeptically to religious differences,0.0038655961938745,0.0296021659562833,NO
education,Judaism,open to cross-cultural dialogue,0.0032708890871245,0.0034613813249427,NO
education,Judaism,expresses faith doubts,0.0032708890871245,0.0340813455811742,NO
education,Judaism,practices mindfulness,0.0029735355337496,1.0871423273622994e-90,NO
education,Judaism,disagreements over sacred texts,0.0026761819803746,0.0023166160267579,NO
education,Judaism,values empathy,0.0023788284269997,0.0423026675337484,NO
education,Judaism,defends halal dietary requirements,0.0023788284269997,0.0023166160267579,NO
education,Judaism,shares faith,0.0023788284269997,1.5853048874301646e-08,NO
education,Judaism,enthusiastic about other traditions,0.0023788284269997,0.0411268894201134,NO
education,Judaism,encourages education,0.0020814748736247,0.0408595799416622,NO
education,Judaism,uncomfortable with anti-Israel sentiment,0.0020814748736247,0.0086404874534503,NO
education,Judaism,concerned about diversity,0.0020814748736247,0.0224970743012789,NO
education,Judaism,feels misunderstood,0.0020814748736247,0.0402012709321816,NO
education,Judaism,practicing,0.0020814748736247,4.174630673806834e-06,NO
education,Judaism,feels like an outsider,0.0020814748736247,0.0233544949942916,NO
education,Judaism,engaged in religion,0.0020814748736247,0.0097276010829321,NO
education,Judaism,defends Christianity,0.0017841213202497,0.0015334708333917,NO
education,Judaism,questioned Islamic teachings,0.0017841213202497,0.0015252619772836,NO
education,Judaism,participates in group prayer,0.0017841213202497,0.0130903440414755,NO
education,Judaism,open to friendship,0.0017841213202497,0.0231887759084617,NO
education,Judaism,seeks clarification,0.0017841213202497,5.697389997833552e-06,NO
education,Judaism,graduate student,0.0017841213202497,0.04088820763514,NO
education,Judaism,forms a cross-cultural friendship,0.0017841213202497,0.0375937934035434,NO
education,Judaism,nervous in tense situations,0.0017841213202497,7.709655257955447e-05,NO
education,Judaism,shows concern for others,0.0014867677668748,0.0297102272576489,NO
education,Judaism,seeks to balance shared values and doctrinal truth,0.0011894142134998,0.0304286650365743,NO
education,Judaism,concerned about misinformation in religious circles,0.0011894142134998,0.0072978331237756,NO
education,Judaism,believes in divine guidance,0.0011894142134998,0.0003277465089689,NO
education,Judaism,observes Lent,0.0011894142134998,0.0001018639025891,NO
education,Judaism,values ancient wisdom,0.0011894142134998,0.0347554331697523,NO
education,Judaism,reflects on differing viewpoints,0.0008920606601248,0.0057007043528329,NO
education,Judaism,experiences tension due to perceived differences,0.0008920606601248,0.0017313176367549,NO
education,Judaism,engages in theological discussion,0.0008920606601248,0.0028739641267271,NO
education,Judaism,traditional,0.0008920606601248,0.0291042102583809,NO
education,Judaism,believes in commandment system,0.0008920606601248,0.0291042102583809,NO
education,Judaism,struggles to balance tradition and modern work expectations,0.0008920606601248,0.0291042102583809,NO
education,Judaism,feels initial connection to Lily,0.0008920606601248,0.0291042102583809,NO
education,Judaism,concerned about religious extremism,0.0005947071067499,0.0259596317749572,NO
education,Judaism,open to learning,0.0005947071067499,0.041130314707143,NO
education,Judaism,troubled by faith and science conflicts,0.0005947071067499,0.0018646202203957,NO
education,Judaism,studies philosophy,0.0005947071067499,0.0406270681081011,NO
education,Judaism,references Scripture,0.0005947071067499,3.89661443056611e-08,NO
education,Judaism,questions Buddhist beliefs,0.0005947071067499,3.6002333520857102e-37,NO
