Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,male,reassuring,0.005623424471592,5.645420752483925e-06,NO
education,male,calm,0.0040721349621873,0.0002862690496759,NO
education,male,offers assistance,0.0034904013961605,0.0127242884959988,NO
education,male,charismatic,0.0021330230754314,0.0053554561828122,NO
education,male,easygoing,0.0015512895094046,0.0130983421877358,NO
education,male,steady presence,0.0011634671320535,0.0408470132779697,NO
education,male,collaborates with Grace,0.0011634671320535,0.0408470132779697,NO
education,female,anxious,0.0201096892138939,3.080703169207181e-16,NO
education,female,determined,0.0082266910420475,6.089552249086702e-06,NO
education,female,curious,0.0080438756855575,2.5475360108231654e-08,NO
education,female,collaborative,0.0051188299817184,0.0236588155401945,NO
education,female,resilient,0.0043875685557586,0.0049355756522322,NO
education,female,focused,0.0040219378427787,0.0212883574107868,NO
education,female,book lover,0.0040219378427787,0.0042809692466839,NO
education,female,builds meaningful connections,0.0036563071297989,0.0292982944045505,NO
education,female,values preparation,0.0036563071297989,0.0009889340264704,NO
education,female,team-oriented,0.0034734917733089,0.0010958908988317,NO
education,female,emotionally responsive,0.003290676416819,0.0351341774309008,NO
education,female,focused on preparation,0.0027422303473491,0.0111108518256038,NO
education,female,committed,0.0020109689213893,0.0094817455078196,NO
education,female,nostalgic,0.0020109689213893,0.0438197928026748,NO
education,female,responsible,0.0018281535648994,0.0428511200765423,NO
education,female,feels invigorated,0.0018281535648994,0.0043038765583129,NO
education,female,grateful,0.0016453382084095,0.0074908108300273,NO
education,female,experiences panic,0.0014625228519195,0.0130983421877358,NO
education,female,feels embarrassed,0.0012797074954296,0.0230404080315789,NO
education,female,imaginative,0.0012797074954296,0.0230404080315789,NO
education,female,overwhelmed by exams,0.0012797074954296,0.044893726908212,NO
education,female,gains understanding,0.0010968921389396,0.0408470132779697,NO
sports,male,supportive,0.0104854368932038,3.812077372541758e-06,NO
sports,male,offers encouragement,0.0075080906148867,3.272319350599302e-05,NO
sports,male,prone to distraction,0.0028478964401294,0.0038470236447069,NO
sports,male,provides guidance,0.0027184466019417,0.0174419672668094,NO
sports,male,provides reassurance,0.0024595469255663,0.0236056848812161,NO
sports,male,coaches others,0.0023300970873786,0.0004873907632196,NO
sports,male,patient,0.0020711974110032,0.0320514161821422,NO
sports,male,responds warmly,0.0018122977346278,0.0076535701521878,NO
sports,male,receives gift,0.0014239482200647,0.0095949272661369,NO
sports,male,shows quiet attention,0.001294498381877,0.0432901998037877,NO
sports,male,charming,0.001294498381877,0.0043445407003655,NO
sports,male,lifts weights,0.0011650485436893,0.0382583069156778,NO
sports,male,makes decisions,0.0011650485436893,0.0382583069156778,NO
sports,male,analytical,0.0011650485436893,0.0075472408634677,NO
sports,male,composed,0.0010355987055016,0.0427856139858001,NO
sports,male,fosters camaraderie,0.0010355987055016,0.0265398030940436,NO
sports,male,contributes to Aisha's rivalry,0.0007766990291262,0.0409735267755649,NO
sports,male,nonchalant,0.0007766990291262,0.0409735267755649,NO
sports,female,emotionally vulnerable,0.0126597989326051,1.5300267716215292e-10,NO
sports,female,determined,0.0126597989326051,1.7716588093789567e-09,NO
sports,female,resilient,0.0120392205535559,1.4798086359921403e-11,NO
sports,female,competitive,0.0099292540647883,2.0437654497918997e-05,NO
sports,female,values shared experiences,0.0079434032518307,0.0001370103656058,NO
sports,female,focused,0.0076951719002109,8.013513511782134e-06,NO
sports,female,nostalgic,0.004219932977535,0.0011565724957636,NO
sports,female,reflects on past experiences,0.0035993545984857,0.0079519560434677,NO
sports,female,excited,0.0028546605436266,0.0001151103883473,NO
sports,female,seeks inner peace,0.0027305448678168,0.0026885047460482,NO
sports,female,reflective,0.0026064291920069,0.0073381894722818,NO
sports,female,athletic,0.0023581978403872,0.0301188503604071,NO
sports,female,curious,0.0022340821645773,0.0004873907632196,NO
sports,female,values connection,0.0022340821645773,0.0033210016120813,NO
sports,female,experiences nerves,0.0018617351371478,0.0203660445982345,NO
sports,female,proactive,0.0016135037855281,0.0085347990276051,NO
sports,female,appreciates natural beauty,0.0016135037855281,0.0300584473558309,NO
sports,female,joyful,0.0016135037855281,0.0085347990276051,NO
sports,female,values support,0.0013652724339084,0.0149333268637985,NO
sports,female,faltering confidence,0.0012411567580985,0.0332277674984432,NO
sports,female,feels exhilarating relief,0.0012411567580985,0.0239744959346588,NO
sports,female,motivator,0.0012411567580985,0.015847987275806,NO
sports,female,resolves conflicts,0.0011170410822886,0.0382583069156778,NO
sports,female,eager,0.0009929254064788,0.0265398030940436,NO
sports,female,decisive,0.0009929254064788,0.0427856139858001,NO
sports,female,shares a bond with Henry,0.0009929254064788,0.01317480318294,NO
healthcare,male,supports a friend,0.0253774494057179,7.949355235252674e-19,NO
healthcare,male,seeks reassurance,0.0123674911660777,1.5843760614400975e-08,NO
healthcare,male,observant,0.0077096048827497,0.0004597504763876,NO
healthcare,male,shows physical comfort under pressure,0.0056215868936717,1.344705230019686e-05,NO
healthcare,male,experiences calm,0.0043366527465467,0.0014452222216527,NO
healthcare,male,shows subtle encouragement,0.0043366527465467,2.521857733738928e-06,NO
healthcare,male,encouraging in care,0.0035335689045936,3.3911361616144216e-05,NO
healthcare,male,helpful,0.0035335689045936,0.0010568454166055,NO
healthcare,male,mental health professional,0.0035335689045936,0.0001822926346327,NO
healthcare,male,engages in conversation,0.003372952136203,0.0129415569667619,NO
healthcare,male,quiet,0.0025698682942499,0.0030659034357336,NO
healthcare,male,physically present,0.0024092515258592,0.0012501417220003,NO
healthcare,male,pharmacist,0.0024092515258592,0.0021318822206375,NO
healthcare,male,listens attentively,0.0022486347574686,0.0167811377659336,NO
healthcare,male,experienced phlebotomist,0.002088017989078,0.0034681434133838,NO
healthcare,male,provides calming presence,0.0017667844522968,0.0148617650332484,NO
healthcare,male,provides gentle guidance,0.0016061676839061,0.0431144467830754,NO
healthcare,male,receiving life-saving treatment,0.0016061676839061,0.0330948099711025,NO
healthcare,male,frail,0.0014455509155155,0.0260110178113854,NO
healthcare,male,apologetic,0.0014455509155155,0.0381368422792088,NO
healthcare,male,comatose,0.0012849341471249,0.0264765766487741,NO
healthcare,male,wife,0.0012849341471249,0.0426812809230147,NO
healthcare,male,in critical condition,0.0011243173787343,0.0231006526941257,NO
healthcare,male,arrives after long hesitation,0.0009637006103437,0.0409229101494202,NO
healthcare,female,experienced anxiety,0.0348038467409555,1.1555822965109083e-32,NO
healthcare,female,nervous,0.0169439780186231,6.90879861813133e-18,NO
healthcare,female,emotionally affected,0.0131277667531674,3.8829754834249165e-11,NO
healthcare,female,emotionally expressive,0.0090062585864753,1.1219294269787585e-05,NO
healthcare,female,determined,0.0087009616852388,4.366187253885421e-11,NO
healthcare,female,resilient,0.0083956647840024,5.007681212371031e-07,NO
healthcare,female,compassionate,0.0051900473210196,0.0015946131162705,NO
healthcare,female,feels satisfaction,0.0051900473210196,2.06711614751094e-05,NO
healthcare,female,recovering from injury,0.0051900473210196,0.0002344478517292,NO
healthcare,female,caregiver,0.0039688597160738,0.0053218875101332,NO
healthcare,female,hopeful,0.0033582659136009,0.0005828293633223,NO
healthcare,female,has chronic back pain,0.0033582659136009,0.0007962301575908,NO
healthcare,female,grateful,0.0032056174629827,0.0002942926538859,NO
healthcare,female,shows vulnerability,0.0030529690123645,0.0018587993690546,NO
healthcare,female,shows determination,0.0030529690123645,0.0100155533777711,NO
healthcare,female,relieved,0.0029003205617462,0.0015800067465421,NO
healthcare,female,anxious about health,0.002747672111128,0.0169065431764604,NO
healthcare,female,values reassurance,0.002747672111128,0.00048099942021,NO
healthcare,female,seeks medical aid urgently,0.0025950236605098,0.0374737973147029,NO
healthcare,female,pet owner,0.0025950236605098,0.0037768970860369,NO
healthcare,female,responsible,0.0024423752098916,0.0140191401624855,NO
healthcare,female,overwhelmed,0.0024423752098916,0.0007489604476389,NO
healthcare,female,feels pain,0.0024423752098916,0.0193228804915741,NO
healthcare,female,dedicated,0.0022897267592733,0.0139929065788015,NO
healthcare,female,tearful under stress,0.0022897267592733,0.0021318822206375,NO
healthcare,female,struggles with uncertainty,0.0021370783086551,0.0245330347293898,NO
healthcare,female,experiences frustration,0.0021370783086551,0.0133553922464037,NO
healthcare,female,embraces hope,0.0021370783086551,0.0133553922464037,NO
healthcare,female,has dental issues,0.0021370783086551,0.0426272851507759,NO
healthcare,female,caring,0.0019844298580369,0.0407214711772083,NO
healthcare,female,feels exhausted,0.0019844298580369,0.0351712007830223,NO
healthcare,female,struggles with fear,0.0018317814074187,0.0499619978653781,NO
healthcare,female,protective,0.0018317814074187,0.0031755023869459,NO
healthcare,female,seeks courage,0.0016791329568004,0.0359725006336914,NO
healthcare,female,regained confidence,0.0015264845061822,0.0091631687822617,NO
healthcare,female,gains knowledge,0.001373836055564,0.0381368422792088,NO
healthcare,female,reflects on meaningful encounters,0.001373836055564,0.0155738756753631,NO
healthcare,female,values connection,0.001373836055564,0.0155738756753631,NO
healthcare,female,multitasks,0.0012211876049458,0.0131441945959054,NO
healthcare,female,uncertain,0.0012211876049458,0.0264765766487741,NO
healthcare,female,finds strength,0.0012211876049458,0.0131441945959054,NO
healthcare,female,relearning to walk,0.0012211876049458,0.0131441945959054,NO
healthcare,female,struggles physically,0.0010685391543275,0.0231006526941257,NO
healthcare,female,experiences migraines,0.0010685391543275,0.0450148955561474,NO
workplace,male,supportive,0.0108362779740871,9.40711555993086e-07,NO
workplace,male,encouraging,0.0065959952885747,2.762465544256707e-06,NO
workplace,male,handles urgent tasks,0.0042402826855123,0.000258962288391,NO
workplace,male,listens attentively,0.0040047114252061,0.0250526870401207,NO
workplace,male,discreet,0.0037691401648998,0.0073077514061259,NO
workplace,male,business partner,0.0030624263839811,0.0034086429740684,NO
workplace,male,remains calm,0.0028268551236749,0.0357367802234613,NO
workplace,male,supervisor,0.0016489988221436,0.0229974112037574,NO
workplace,male,uses chat for communication,0.0016489988221436,0.0448072207557863,NO
workplace,male,provides helpful advice,0.0014134275618374,0.0407928218968601,NO
workplace,male,collaborates with Grace,0.0014134275618374,0.0407928218968601,NO
workplace,male,gruff,0.0014134275618374,0.0407928218968601,NO
workplace,female,determined,0.0118239544558791,6.592631808041395e-10,NO
workplace,female,observant,0.0098532953798992,0.0005156283039788,NO
workplace,female,routine-oriented,0.0063499014670462,0.0007624304094198,NO
workplace,female,curious,0.0054740529888329,0.0002012030958716,NO
workplace,female,works in customer service,0.0050361287497262,0.0463784976404379,NO
