Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,male,supportive,0.0206636201072918,1.8762697823915466e-16,NO
education,male,provides guidance,0.0125173852573018,1.9713559628530405e-08,NO
education,male,receives encouragement,0.0085436121597456,0.0001929996605714,NO
education,male,patient,0.0059606596463341,4.340511143486392e-05,NO
education,male,identifies a classmate,0.0047685277170673,5.421653953785853e-06,NO
education,male,teaches,0.0041724617524339,0.0008789059788871,NO
education,male,facilitates collaborative learning,0.0039737730975561,0.0063334212043812,NO
education,male,helpful,0.0035763957878005,0.0127242884959988,NO
education,male,programmer,0.0033777071329227,0.0133819144418975,NO
education,male,handles technical issues,0.002980329823167,0.0012333118488054,NO
education,male,friendly,0.002980329823167,0.0021029178033052,NO
education,male,entrepreneurial,0.0027816411682892,0.0052567732339527,NO
education,male,approachable,0.0025829525134114,0.0008323552897645,NO
education,male,offers mentorship,0.0025829525134114,0.0117237001476748,NO
education,male,close friend,0.0025829525134114,0.0117237001476748,NO
education,male,listens attentively,0.0021855752036558,0.021004619625683,NO
education,male,reassuring,0.0021855752036558,0.0094817455078196,NO
education,male,knowledgeable,0.0021855752036558,0.0438197928026748,NO
education,male,answers thoughtful questions,0.001986886548778,0.0428511200765423,NO
education,male,communicates with instructor,0.001986886548778,0.0237385152500545,NO
education,male,provides clear explanations,0.001986886548778,0.0156944681783804,NO
education,male,exchanges contact information,0.0017881978939002,0.0258891875055918,NO
education,male,forward-thinking,0.0017881978939002,0.0258891875055918,NO
education,male,quiet,0.0017881978939002,0.0379548316773995,NO
education,male,warm,0.0017881978939002,0.0074908108300273,NO
education,male,relies on peer support,0.0015895092390224,0.026381832522812,NO
education,male,humorous,0.0013908205841446,0.044893726908212,NO
education,male,laid-back,0.0013908205841446,0.0230404080315789,NO
education,male,maintains contact with Grace,0.0011921319292668,0.0408470132779697,NO
education,male,roommate,0.0011921319292668,0.0408470132779697,NO
education,male,tech-savvy,0.0011921319292668,0.0408470132779697,NO
