Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,middle-east race,bridges cultural divides,0.0171377029464822,4.9320480169895184e-08,NO
education,middle-east race,involved in cross-cultural partnerships,0.0072158749248346,0.0002686361553691,NO
education,middle-east race,interested in Middle Eastern culture,0.0066145520144317,2.5049485668764776e-07,NO
education,middle-east race,knowledgeable,0.0054119061936259,0.0096199829145647,NO
education,middle-east race,admires Arabic calligraphy,0.0051112447384245,0.0001956006474618,NO
education,middle-east race,shares knowledge,0.004810583283223,0.0219436419120013,NO
education,middle-east race,skilled,0.0045099218280216,0.0334538955165794,NO
education,middle-east race,studying abroad,0.0045099218280216,2.620575302100747e-07,NO
education,middle-east race,seeks cultural understanding,0.0042092603728202,0.0138950928750743,NO
education,middle-east race,AI,0.0036079374624173,0.0120231210929747,NO
education,middle-east race,explores cultural narratives,0.0036079374624173,0.0438458018887771,NO
education,middle-east race,warm,0.0033072760072158,0.0022119422317667,NO
education,middle-east race,speaks broken Arabic,0.0033072760072158,0.000974464306173,NO
education,middle-east race,interested in artificial intelligence,0.0027059530968129,0.0117695481495771,NO
education,middle-east race,from Kuwait,0.0027059530968129,5.536818201226396e-06,NO
education,middle-east race,shares family stories,0.0027059530968129,0.0484098577689833,NO
education,middle-east race,quiet,0.0024052916416115,0.017692229327153,NO
education,middle-east race,knowledgeable about translations,0.0024052916416115,0.0413140828676081,NO
education,middle-east race,loves poetry,0.0024052916416115,0.0267790565687215,NO
education,middle-east race,collaborates with a colleague,0.0021046301864101,0.0104397767756117,NO
education,middle-east race,inventor,0.0021046301864101,0.0411268894201134,NO
education,middle-east race,knowledgeable about Western cultures,0.0021046301864101,0.0097276010829321,NO
education,middle-east race,multilingual,0.0021046301864101,0.0173680388714887,NO
education,middle-east race,contributes to academic discussion,0.0021046301864101,0.020500675530758,NO
education,middle-east race,confident,0.0021046301864101,0.0034613813249427,NO
education,middle-east race,Jordanian,0.0021046301864101,0.0001014777181448,NO
education,middle-east race,struggles with cultural competence,0.0021046301864101,0.0086404874534504,NO
