Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,black race,ambitious,0.0168381665107577,1.6511929579385872e-18,NO
education,black race,intelligent,0.0162145307140629,1.6120563519056082e-15,NO
education,black race,passionate,0.0109136264421577,4.870522249962206e-06,NO
education,black race,skilled,0.0087309011537262,0.0001365630827974,NO
education,black race,supportive,0.0087309011537262,0.0084644278544849,NO
education,black race,determined,0.0087309011537262,2.3110354040472328e-06,NO
education,black race,confident,0.0087309011537262,3.2154024527057154e-06,NO
education,black race,charismatic,0.0065481758652946,4.850082357724597e-10,NO
education,black race,creative,0.0059245400685999,0.0077680445306492,NO
education,black race,knowledgeable,0.0056127221702525,0.0032492285755216,NO
education,black race,values knowledge,0.0040536326785157,0.0063230550629409,NO
education,black race,open to learning,0.0040536326785157,0.0149254076357325,NO
education,black race,insightful,0.0037418147801683,0.0310345532955386,NO
education,black race,focuses on African-American history,0.0037418147801683,2.861162670800982e-06,NO
education,black race,bright,0.0037418147801683,0.0002711268237942,NO
education,black race,American,0.003429996881821,1.5325484998266693e-05,NO
education,black race,helpful,0.003429996881821,0.0121429251726289,NO
education,black race,of Chinese descent,0.0031181789834736,0.0032764467992654,NO
education,black race,young American,0.0031181789834736,0.0027493108585359,NO
education,black race,interested in social justice,0.0031181789834736,0.0122018923486335,NO
education,black race,marketing manager,0.0028063610851262,7.485437515837053e-08,NO
education,black race,from United States,0.0028063610851262,0.0406270681081011,NO
education,black race,brilliant,0.0024945431867789,0.0036675127121756,NO
education,black race,builds professional connections,0.0021827252884315,0.016482296676943,NO
education,black race,warm,0.0021827252884315,6.07896368543383e-05,NO
education,black race,calm,0.0021827252884315,0.033237188827241,NO
education,black race,patient,0.0021827252884315,0.0055043239517789,NO
education,black race,values professional relationships,0.0018709073900841,0.0028151536940188,NO
education,black race,passionate about environmental conservation,0.0018709073900841,0.0466913416430303,NO
education,black race,vibrant,0.0018709073900841,0.0026518762426752,NO
education,black race,valuable friend,0.0018709073900841,0.004298263249045,NO
education,black race,businessman,0.0015590894917368,0.0447007748037579,NO
education,black race,proactive,0.0015590894917368,0.0222254432730162,NO
education,black race,becomes engaged,0.0015590894917368,0.0098897095982237,NO
education,black race,remains focused,0.0015590894917368,0.0007608765034127,NO
education,black race,focuses on African market,0.0012472715933894,0.0072978331237756,NO
education,black race,shares American culture,0.0012472715933894,0.0001414352280441,NO
education,black race,has infectious laughter,0.0012472715933894,0.0347554331697523,NO
education,black race,leader,0.0012472715933894,0.0117695481495771,NO
education,black race,analytical,0.0012472715933894,0.0469749167392783,NO
education,black race,energetic,0.0012472715933894,0.0072978331237756,NO
education,black race,engages in cross-cultural conversations,0.000935453695042,1.980953365950674e-10,NO
education,black race,culturally aware,0.000935453695042,4.68802125088766e-05,NO
education,black race,studies ancient history,0.000935453695042,0.0322478282704834,NO
education,black race,excels in online learning,0.000935453695042,0.0291042102583809,NO
education,black race,values attention to detail,0.000935453695042,2.777682409197817e-05,NO
education,black race,advocates for Black health,0.000935453695042,0.0291042102583809,NO
education,black race,aspiring doctor,0.000935453695042,0.0291042102583809,NO
education,black race,anxious,0.0006236357966947,4.0269473569929294e-05,NO
education,black race,studious,0.0006236357966947,0.020500675530758,NO
education,black race,struggles with math,0.0006236357966947,0.0001334469253462,NO
education,black race,values others' opinions,0.0006236357966947,0.0023166160267579,NO
education,black race,organized,0.0006236357966947,0.039366617987875,NO
education,black race,successful,0.0003118178983473,0.0117695481495771,NO
education,black race,open to discussion,0.0003118178983473,0.008099403897908,NO
education,black race,senior,0.0003118178983473,4.861344074351254e-09,NO
education,black race,admires calligraphy,0.0003118178983473,0.0286092719498617,NO
education,black race,works under deadline,0.0003118178983473,0.0026518762426752,NO
education,black race,works intensively,0.0003118178983473,0.0377619837652547,NO
education,black race,knowledgeable about medicinal plants,0.0003118178983473,0.0347554331697523,NO
education,black race,speaks Arabic,0.0003118178983473,0.0032950951338154,NO
education,black race,from China,0.0003118178983473,4.056351420999858e-05,NO
education,white race,confident,0.012119328775637,3.2154024527057154e-06,NO
education,white race,marketing manager,0.012119328775637,7.485437515837053e-08,NO
education,white race,determined,0.012119328775637,2.3110354040472328e-06,NO
education,white race,senior,0.0118085767557489,4.861344074351254e-09,NO
education,white race,shows gratitude,0.009633312616532,6.303401849107543e-08,NO
education,white race,values cross-cultural understanding,0.0090118085767557,0.0016207355626107,NO
education,white race,economics major,0.0071472964574269,0.0009122856033207,NO
education,white race,struggles with math,0.0068365444375388,0.0001334469253462,NO
education,white race,values professional relationships,0.0062150403977625,0.0028151536940188,NO
education,white race,anxious,0.0062150403977625,4.0269473569929294e-05,NO
education,white race,open to learning,0.0059042883778744,0.0149254076357325,NO
education,white race,supportive,0.0055935363579863,0.0084644278544849,NO
education,white race,builds professional connections,0.0052827843380981,0.016482296676943,NO
