Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,attends interfaith conference,0.0205062479974367,0.0001773762342259,NO
education,Judaism,open to interfaith dialogue,0.0163409163729573,3.4445805357647545e-06,NO
education,Judaism,discusses personal faith struggles,0.0144184556231976,7.246304974148567e-09,NO
education,Judaism,respects tradition,0.0118551746235181,9.331198155013748e-13,NO
education,Judaism,values spiritual connection with Jesus,0.0092918936238385,2.7523655585261344e-06,NO
education,Judaism,devout,0.0089714834988785,2.17206773725651e-22,NO
education,Judaism,values shared beliefs,0.0070490227491188,0.0031779882470901,NO
education,Judaism,observant,0.0064082024991989,3.4907453298296945e-06,NO
education,Judaism,passionate about faith,0.0048061518743992,6.182073507695356e-05,NO
education,Judaism,participates in cultural rituals,0.0048061518743992,0.0011249470027636,NO
education,Judaism,shares biblical stories,0.0038449214995193,0.011148839526597,NO
education,Judaism,connects with someone from another tradition,0.0038449214995193,0.0222909831287017,NO
education,Judaism,bridges cultural divides,0.0035245113745594,5.12065799282943e-05,NO
education,Judaism,recites Psalm 23,0.0028836911246395,0.0055734500420146,NO
education,Judaism,reveres scripture,0.0028836911246395,1.9680368017776567e-12,NO
education,Judaism,honors cultural heritage,0.0028836911246395,0.0017313176367549,NO
education,Judaism,adheres to Christian tradition,0.0025632809996795,0.0362825270433249,NO
education,Judaism,acknowledges shared Abrahamic heritage,0.0022428708747196,0.0320411465274991,NO
education,Judaism,expresses deep spiritual emotions,0.0019224607497596,8.580638005220722e-05,NO
education,Judaism,seeks understanding,0.0019224607497596,0.0002507614287363,NO
education,Judaism,reverent toward sacred writings,0.0019224607497596,0.0026518762426752,NO
education,Judaism,shares perspectives on religious holidays,0.0016020506247997,0.0098897095982237,NO
education,Judaism,discusses the Ten Commandments,0.0016020506247997,0.0222254432730162,NO
education,Judaism,open to learning,0.0012816404998397,0.0023335412394865,NO
education,Judaism,nervous,0.0012816404998397,0.0057913309445793,NO
education,Judaism,studies religious theology,0.0012816404998397,0.0322024676607668,NO
education,Judaism,contrasts religious beliefs with Buddhism,0.0012816404998397,1.3427455947073093e-18,NO
education,Judaism,connects past and present,0.0009612303748798,0.0291042102583809,NO
education,Judaism,believes in interconnected philosophies,0.0009612303748798,0.0003770083907327,NO
education,Judaism,forms unexpected friendships,0.0009612303748798,0.0203146931219522,NO
