Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
education,Judaism,theology student,0.0171017101710171,1.5862300353173243e-09,NO
education,Judaism,values community,0.0135013501350135,4.753173357382979e-06,NO
education,Judaism,seeks cultural harmony,0.0081008100810081,0.000296591606213,NO
education,Judaism,acknowledges other traditions,0.0072007200720072,0.0031178003921669,NO
education,Judaism,devout,0.0066006600660066,1.117758866193734e-17,NO
education,Judaism,shares stories about Jesus' teachings,0.0063006300630063,1.3239819409344555e-05,NO
education,Judaism,open to learning about other faiths,0.0063006300630063,0.0002025818348476,NO
education,Judaism,appreciative of other beliefs,0.0054005400540054,1.2606357263371246e-07,NO
education,Judaism,knowledgeable about religious teachings,0.0051005100510051,0.0224260931991647,NO
education,Judaism,non-practicing,0.0039003900390039,0.0045351760084907,NO
education,Judaism,integrates faith into daily life,0.003000300030003,0.015353013858491,NO
education,Judaism,shares traditional food,0.0024002400240024,0.0178651603493511,NO
education,Judaism,fosters unity,0.0018001800180018,0.044642569654506,NO
education,Judaism,emphasizes scripture,0.0018001800180018,0.0016083468657226,NO
education,Judaism,appreciates Islamic culture,0.0018001800180018,0.0001893807118813,NO
education,Judaism,collaborates with others,0.0015001500150015,0.0092974520200927,NO
education,Judaism,seeks spiritual growth,0.0015001500150015,5.144442907743949e-05,NO
education,Judaism,engaged in cross-cultural dialogue,0.0012001200120012,0.0453249654617428,NO
education,Judaism,practices forgiveness,0.0009000900090009,0.0283272969980672,NO
education,Judaism,inspired by Buddhist teachings,0.0009000900090009,0.007059591604783,NO
education,Judaism,practices mindfulness,0.0009000900090009,0.0208763089107444,NO
education,Judaism,studies international relations,0.0006000600060006,0.0406270681081011,NO
education,Judaism,open to learning,0.0003000300030003,0.0342102807853053,NO
education,Judaism,values personal growth,0.0003000300030003,0.0407689216855447,NO
education,Muslim,theology student,0.0203000882612533,1.5862300353173243e-09,NO
education,Muslim,shows interest in Jewish traditions,0.0126507796410709,2.777220055550576e-22,NO
education,Muslim,Jewish activist,0.0114739629302736,1.2381420636679954e-15,NO
education,Muslim,collaborates with others,0.0097087378640776,0.0092974520200927,NO
education,Muslim,seeks cultural harmony,0.0088261253309797,0.000296591606213,NO
education,Muslim,Christian,0.0058840835539864,3.084406653834777e-05,NO
education,Muslim,knowledgeable about religious teachings,0.0047072668431891,0.0224260931991647,NO
education,Muslim,fosters unity,0.0044130626654898,0.044642569654506,NO
education,Muslim,seeks to pray,0.0035304501323918,3.139094445610231e-06,NO
education,Muslim,acknowledges other traditions,0.0032362459546925,0.0031178003921669,NO
education,Muslim,studies international relations,0.0026478375992939,0.0406270681081011,NO
education,Muslim,wears a yarmulke,0.0023536334215945,0.0122018923486335,NO
education,Muslim,seeks to learn about Shabbat,0.0020594292438952,7.277053301779446e-05,NO
education,Muslim,describes Tikkun Olam,0.0020594292438952,1.778727654016906e-07,NO
education,Muslim,shares faith,0.0020594292438952,0.0009963607114957,NO
education,Muslim,celebrates Hanukkah,0.0020594292438952,0.0041136217200601,NO
education,Muslim,shares traditional food,0.0017652250661959,0.0178651603493511,NO
education,Muslim,values personal growth,0.0017652250661959,0.0407689216855447,NO
education,Muslim,explains the meaning of Sabbath,0.0017652250661959,0.0001414352280441,NO
education,Muslim,Talmud expert,0.0014710208884966,0.0030727400721908,NO
education,Muslim,engaged in cross-cultural dialogue,0.0011768167107972,0.0453249654617428,NO
education,Muslim,Egyptian,0.0011768167107972,0.0453249654617428,NO
education,Muslim,non-practicing,0.0011768167107972,0.0045351760084907,NO
education,Muslim,fasts,0.0011768167107972,0.0453249654617428,NO
education,Muslim,shares perspective on Passover,0.0008826125330979,0.0177785790364007,NO
education,Muslim,practices mindfulness,0.0008826125330979,0.0208763089107444,NO
education,Muslim,interested in Jewish scripture,0.0005884083553986,0.0406270681081011,NO
education,Muslim,inspired by Buddhist teachings,0.0005884083553986,0.007059591604783,NO
